"object_id","canonical_object","analysis_unit","headquarters_or_project_owner_location","object_type","scope_status","funnel_layer","criterion_state_evolution","criterion_action_or_interaction","criterion_physical_spatial_task","strategic_relationship_gate","eligibility_reason","exclusion_reason","source_status","confidence","as_of_date"
"O-001","World Labs","company; RTFM technical core and Marble commercial layer separated","US entity/address confirmed","startup","dr02_original_validation_input;non_china_verified","core_collection","yes","yes_navigation_pose_and_persistent_spatial_memory","yes_spatial_navigation","conditional_pass_against_public_anchor:potential_platform_substitution+evidence_backed_future_market_competition","RTFM closes navigation gate 2; Marble and World API support only a conditional Gate 3 inference against the public anchor and do not prove shared buyers budgets or delivery","RTFM remains a first-party learned-renderer preview; supplier-hosted Escape prototype/PoC is not paid production or revenue and cannot upgrade RTFM access","phase2_primary_sources_and_case_reopened","medium_high","2026-07-14"
"O-002","Odyssey","company; Odyssey-2 Pro and Max separated from Starchild and Agora","US corporation/address confirmed","startup","dr02_original_validation_input;non_china_verified","core_collection","yes","yes_action_conditioned_causal","yes_realtime_general_simulation_company_reported","conditional_pass_against_public_anchor:potential_product_substitution+potential_platform_substitution+evidence_backed_future_market_competition","Pro and Max independently close Gate 2; API and partner route support conditional Gate 3 mechanisms against the public anchor","Max is private beta and company-benchmarked; no named customer or deployment evidence and no proof of shared Manifold buyers budgets or delivery","phase2_versions_access_and_legal_reopened","medium_high","2026-07-14"
"O-003","Runway","company; GWM Worlds is the qualifying technical component","US corporation/address confirmed","startup","dr02_original_validation_input;non_china_verified","core_collection","yes","yes_navigation_control_and_revisitation","yes_spatial_navigation_and_realtime_simulation","conditional_pass_against_public_anchor:evidence_backed_future_market_competition+potential_product_substitution+potential_platform_substitution","GWM Worlds closes Gate 2 and supports conditional product/platform and future-market mechanisms against the public anchor","Worlds remains first-party early access; future dossier must split GWM Worlds and GWM Robotics and neither may lend capability access license or adoption evidence to the other","phase2_primary_sources_reopened_component_split","medium","2026-07-14"
"O-004","Decart","company; Oasis 3 Preview core separated from DOS and Lucy","US-inc terms; US and Israel operating footprint; exact HQ label unresolved","startup","dr02_original_validation_input;non_china_verified_for_scope_hq_label_unresolved","core_collection","yes","yes_stateful_driving_action_interface","yes_physical_AI_driving","conditional_pass_against_public_anchor:potential_product_substitution+potential_platform_substitution","Oasis 3 closes minimum Gate 2; public API/SDK support only a conditional Gate 3 inference against the public anchor","independent media hands-on is product experience and counterevidence rather than system validation or commercial adoption; severe route-memory control collision and physics limits remain","phase2_api_sdk_media_and_geography_reopened","medium_low","2026-07-14"
"O-005","NVIDIA Cosmos 3","specific big-tech project; Generator action branches separated from NIM Isaac GR00T and Omniverse","NVIDIA; US parent-owner level","big_tech_project","dr02_original_validation_input;non_china_verified_at_parent_owner_level","core_collection","yes","yes_action_conditioned_forward_dynamics","yes_physical_AI","conditional_pass_against_public_anchor:potential_platform_substitution+evidence_backed_future_market_competition+potential_partial_product_substitution","Generator artifacts OpenMDW and self-hosted workflows close Gate 2 and support conditional Gate 3 mechanisms against the public anchor","Agile Robots evidence is partner-reported early access testing integration and internal neural-simulator deployment; not a validated pilot paid customer external production or revenue; drift and physics limits remain","phase2_repo_license_partner_and_model_cards_reopened","medium_high","2026-07-14"
"O-006","Google DeepMind Genie 3 / Project Genie","specific project plus consumer prototype; Waymo adaptation remains boundary evidence","Google/DeepMind; US parent-owner level and international research team","big_tech_project","dr02_original_validation_input;non_china_verified_at_parent_owner_level","core_collection","yes","yes_action_conditioned_autoregressive","yes_spatial_navigation_and_realtime_simulation","conditional_pass_against_public_anchor:evidence_backed_future_market_competition+potential_partial_product_substitution","Genie 3 closes Gate 2; Waymo internal adaptation supports evidence-backed future-market competition against the public anchor; WorldMark is retained only as a technical comparability reference, does not include WorldScape and is not a strong direct comparator","Project Genie is a 60-second consumer research prototype with no enterprise API SDK weights or external customer evidence","phase2_primary_benchmark_and_internal_adopter_sources_reopened","medium_high","2026-07-14"
"O-007","Meta V-JEPA family","project family with mandatory base 2-AC and 2.1 split","Meta; US parent-owner level","big_tech_project","dr02_original_validation_input;non_china_verified_at_parent_owner_level","core_collection","yes","yes_only_in_2_AC","yes_narrow_robot_domain_only_in_action_predictor","pass_limited_against_public_anchor:potential_limited_platform_substitution","Only 2-AC closes Gate 2; downloadable checkpoint code configs PyTorch Hub and local workflow support a limited self-host Gate 3 path against the public anchor","base and 2.1 are action-free; Franka/DROID domain is narrow; exact 2-AC license is unresolved and follow-up work reports a rollout-loss bug and weaker public-checkpoint planning under its protocol","phase2_versions_licenses_and_reproduction_reopened","medium_high","2026-07-14"
"O-008","General Intuition / MIRA","company; MIRA technical asset separated from broader agent and robotics demonstrations","Delaware US entity; New York operating address","startup","dr02_original_validation_input;non_china_verified","core_collection","yes","yes_multiplayer_action_conditioned","yes_virtual_physical_spatial_domain","conditional_pass_against_public_anchor:evidence_backed_future_market_competition+potential_partial_product_substitution+potential_partial_platform_substitution","MIRA closes Gate 2 in Rocket League; company/customer evidence supports only conditional Gate 3 mechanisms against the public anchor","commercial API component is unverified; customers are anonymous and sim-to-real transfer remains unproven","phase2_paper_code_company_and_independent_media_reopened","medium","2026-07-14"
"O-009","AMI Labs","company","Paris France registered headquarters","startup","dr02_original_validation_input;non_china_verified","discovery_isolation_self_positioned","unverified_no_asset","unverified_no_asset","unverified_no_asset","not_evaluated_gate2_not_closed","official mission triggers monitoring and geography is now closed","no AMI model paper demo checkpoint API SDK or benchmark; Meta-era JEPA work cannot be borrowed","phase2_registry_and_company_sources_reopened","high_on_isolation_low_on_future_capability","2026-07-14"
"O-010","Gemini Robotics","project","Google DeepMind","big_tech_project","boundary_excluded","boundary_vla","n/a","yes_policy_output","yes_robotics","fails_hard_category","important adjacent route","VLA and robot action model","primary_source_reopened","high","2026-07-14"
