"object_id","canonical_object","analysis_unit","technical_asset","discovery_gate_status","technical_gate_status","action_conditioned_future_state_status","geography_scope_status","queue_layer","core_strategic_relationship_status","decision_and_next_validation","source_ids","as_of_date"
"O-001","World Labs","startup/company; RTFM technical core and Marble commercial layer separated","RTFM; Marble / World API","phase2_validated","passed_navigation_definition","yes_pose_conditioned_persistent_spatial_memory","non_china_verified","core_collection","conditional_pass_against_public_anchor:potential_platform_substitution+evidence_backed_future_market_competition","approved_final_five; public-anchor inference does not prove shared buyers budgets or delivery; preserve RTFM versus Marble boundary and learned-renderer limit","S-WL-001;S-WL-002;S-WL-003;S-WL-004;S-WL-005;S-WL-006;S-WL-007","2026-07-14"
"O-002","Odyssey","startup/company; model versions and access layers separated","Odyssey-2 Pro; Odyssey-2 Max; Starchild-1 and Agora-1 auxiliary branches","phase2_validated","passed","yes_causal_action_conditioned_in_Pro_and_Max","non_china_verified_with_address_distinction","core_collection","conditional_pass_against_public_anchor:potential_product_substitution+potential_platform_substitution+evidence_backed_future_market_competition","approved_final_five; mechanisms are conditional public-anchor inferences; Pro public API and Max private beta remain separate; no named adoption evidence","S-ODY-001;S-ODY-002;S-ODY-003;S-ODY-004;S-ODY-005;S-ODY-006;S-ODY-007","2026-07-14"
"O-003","Runway","startup/company; GWM Worlds is qualifying component","GWM Worlds; GWM Robotics and Characters separated","phase2_validated","passed_on_GWM_Worlds","yes_navigation_control_revisitation_and_persistent_spatial_claim","non_china_verified","core_collection","conditional_pass_against_public_anchor:evidence_backed_future_market_competition+potential_product_substitution+potential_platform_substitution","approved_final_five; future dossier must split Worlds and Robotics with no capability access license or adoption borrowing; public-anchor mechanisms remain conditional","S-RUN-001;S-RUN-002;S-RUN-003","2026-07-14"
"O-004","Decart","startup/company; Oasis 3 core separated from DOS and Lucy","Oasis 3 Preview API","phase2_validated","passed_low_confidence","yes_stateful_throttle_steering_conditioned_future_frames","non_china_verified_for_scope_hq_label_unresolved","core_collection","conditional_pass_against_public_anchor:potential_product_substitution+potential_platform_substitution","approved_final_five; public API only supports a conditional public-anchor inference; independent media product experience is counterevidence not system validation or adoption","S-DEC-001;S-DEC-002;S-DEC-003;S-DEC-004;S-DEC-005;S-DEC-006;S-DEC-007","2026-07-14"
"O-005","NVIDIA Cosmos 3","big-tech concrete project; Generator core separated from adjacent NVIDIA stack","Cosmos 3 Generator; action-conditioned forward dynamics","phase2_validated","passed","yes_action_conditioned_forward_dynamics","non_china_verified_at_parent_owner_level","core_collection","conditional_pass_against_public_anchor:potential_platform_substitution+evidence_backed_future_market_competition+potential_partial_product_substitution","approved_final_five; open artifacts and partner-reported early access testing integration and internal neural-simulator deployment support a conditional path; not a validated pilot paid customer or external production adoption","S-NV-001;S-NV-002;S-NV-003;S-NV-004;S-NV-005;S-NV-006;S-NV-007","2026-07-14"
"O-006","Google DeepMind Genie 3 / Project Genie","big-tech concrete project plus consumer prototype; Waymo adaptation is boundary evidence","Genie 3 core; Project Genie; Waymo World Model separated","phase2_validated","passed","yes_action_conditioned_autoregressive_interactive_memory","non_china_verified_at_parent_owner_level","core_collection","conditional_pass_against_public_anchor:evidence_backed_future_market_competition+potential_partial_product_substitution","core watch not recommended; Gate 3 is supported by evidence-backed future-market competition; WorldMark is a technical reference that does not include WorldScape and is not a strong direct comparator; Runway has a public application-based early-access product and application entry, but actual access is not independently confirmed; no Genie enterprise developer platform","S-GD-001;S-GD-002;S-GD-003;S-GD-004;S-GD-005;S-GD-006","2026-07-14"
"O-007","Meta V-JEPA family","big-tech project family with mandatory component split","V-JEPA 2 base; V-JEPA 2-AC; V-JEPA 2.1 representation branch","phase2_validated","passed_only_for_2_AC_branch_narrow_robot_domain","yes_only_in_2_AC; base_and_2_1_action_free","non_china_verified_at_parent_owner_level","core_collection","pass_limited_against_public_anchor:potential_limited_platform_substitution","core_collection watch not recommended; 2-AC checkpoint code configs PyTorch Hub and local workflow form a limited self-host path; exact checkpoint license narrow domain and reproduction risks remain","S-MT-001;S-MT-002;S-MT-003;S-MT-004;S-MT-005;S-MT-006;S-MT-007;S-MT-008;S-MT-009;S-MT-010","2026-07-14"
"O-008","General Intuition / MIRA","startup/company; MIRA separated from broader agents and robot demos","MIRA multiplayer world model","phase2_validated","passed_virtual_domain_limited","yes_four_player_action_conditioned_future_state","non_china_verified","core_collection","conditional_pass_against_public_anchor:evidence_backed_future_market_competition+potential_partial_product_substitution+potential_partial_platform_substitution","core watch not recommended; all substitution labels are conditional; game-domain limit and unauditable commercial API component remain","S-GI-001;S-GI-002;S-GI-003;S-GI-004;S-GI-005;S-GI-006","2026-07-14"
"O-009","AMI Labs","startup/company","no named public technical asset","self_positioned_only","not_passed_no_asset","unverified_no_model_paper_demo_checkpoint_API_or_SDK","non_china_verified","discovery_isolation_self_positioned","not_evaluated_gate2_failed","not recommended; French geography is closed but promotion requires a concrete AMI technical asset","S-AMI-001;S-AMI-002;S-AMI-003","2026-07-14"
"O-024","Overworld","startup/company; Waypoint core and access artifacts separated","Waypoint-1.5-1B; World Engine; Biome","phase2_validated_geography_conditional","passed_navigation_definition","yes_time_aligned_controls_rolling_history_and_future_writeback","geography_conditional","core_collection","conditional_pass_against_public_anchor:potential_product_substitution+potential_platform_substitution","core watch not recommended; conditional public-anchor path only; legal entity and registration jurisdiction must close before any seat and long-horizon state physics remain weak","S-OW-001;S-OW-002;S-OW-003;S-OW-004;S-OW-005;S-OW-006;S-OW-007;S-OW-008;S-OW-009","2026-07-14"
