"source_id","object_id","source_type","source_title","publisher","canonical_url","publication_or_update_date","access_date","version_or_commit","credibility","recency","bias","verification_status","source_file"
"S-MAN-001","MANIFOLD","official_company_site","Manifold AI","Manifold AI","https://manifoldai.cn/","current","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-MAN-001.md"
"S-MAN-002","MANIFOLD","official_blog","WorldScape","Manifold AI","https://manifoldai.cn/blogs/WorldScape.html","2026-02-25","2026-07-14","live page","primary","current","company_self_report","opened_canonical","04_evidence/sources/S-MAN-002.md"
"S-MAN-003","MANIFOLD","technical_report","WorldScape Technical Report","WorldScape Team","https://manifoldai.cn/assets/file/WorldScape.pdf","2026-04-03","2026-07-14","PDF","primary_author_report","current","project_self_report","opened_canonical","04_evidence/sources/S-MAN-003.md"
"S-MAN-004","MANIFOLD","technical_report","WorldScape Policy","Manifold AI","https://manifoldai.cn/assets/file/WorldScapePolicy.pdf","2026-02-28","2026-07-14","PDF","primary_author_report","current","company_self_report","opened_canonical","04_evidence/sources/S-MAN-004.md"
"S-MAN-005","MANIFOLD","official_project_page","WorldScape Project Page","WorldScape Team","https://worldscape.io/","current","2026-07-14","ICML 2026 submission page","primary_project_source","current","anonymous_submission","opened_canonical","04_evidence/sources/S-MAN-005.md"
"S-BENCH-001","MANIFOLD","official_leaderboard_data","WorldScore Leaderboard CSV","WorldScore","https://huggingface.co/spaces/Howieeeee/WorldScore_Leaderboard/blob/main/leaderboard.csv","current_snapshot","2026-07-14","f940ee8","primary_record","current","dynamic_and_self_submission_risk","opened_versioned","04_evidence/sources/S-BENCH-001.md"
"S-BENCH-002","MANIFOLD","official_benchmark_site","WorldArena","WorldArena authors","https://world-arena.ai/","current","2026-07-14","live page","primary_method_source","current","benchmark_owner","opened_canonical","04_evidence/sources/S-BENCH-002.md"
"S-BENCH-003","MANIFOLD","official_leaderboard_record","WorldScape v0.2 Policy Evaluator JSON","WorldArena","https://huggingface.co/spaces/WorldArena/WorldArena/blob/main/worldarena-results%28policy%20evaluator%29/WorldScape%20v0.2.json","current_snapshot","2026-07-14","b369cee","primary_record","current","submission_independence_unknown","opened_versioned","04_evidence/sources/S-BENCH-003.md"
"S-BENCH-004","MANIFOLD","official_leaderboard","RoboTwin 2.0 Leaderboard","RoboTwin","https://robotwin-platform.github.io/leaderboard","2025-08-05","2026-07-14","live page","primary_record","medium","dynamic","opened_canonical","04_evidence/sources/S-BENCH-004.md"
"S-ART-001","MANIFOLD","official_code_repository","Worldscape-MoE.code","EmbodiedCity","https://github.com/EmbodiedCity/Worldscape-MoE.code","2026-07","2026-07-14","main","primary_artifact","current","project_owner","opened_canonical","04_evidence/sources/S-ART-001.md"
