"queue_id","dr_id","object_id","claim_or_question","source_title_hint","publisher_hint","url_hint","priority","reopen_status","canonical_url","notes"
"Q-001","DR-01","MANIFOLD","company positioning and project timeline","Manifold AI","Manifold AI","manifoldai.cn","P0","opened_canonical","https://manifoldai.cn/","company statement only"
"Q-002","DR-01","MANIFOLD","WorldScape 24 FPS conditions","WorldScape blog","Manifold AI","manifoldai.cn/blogs","P0","opened_with_limit","https://manifoldai.cn/blogs/WorldScape.html","GPU/resolution and test conditions missing"
"Q-003","DR-01","MANIFOLD","WorldScape 16 FPS and 6.27 FPS conditions","WorldScape PDF","WorldScape Team","manifoldai.cn/assets","P0","opened_with_conflict","https://manifoldai.cn/assets/file/WorldScape.pdf","different H100/A800 contexts; do not merge"
"Q-004","DR-01","MANIFOLD","WorldScape Policy robot evidence","WorldScape Policy PDF","Manifold AI","manifoldai.cn/assets","P0","opened_canonical","https://manifoldai.cn/assets/file/WorldScapePolicy.pdf","company self-evaluation; 10 trials per task"
"Q-005","DR-01","MANIFOLD","current WorldScore ranking","WorldScore Leaderboard","WorldScore","huggingface.co/spaces","P0","opened_current_contradicts_DR","https://huggingface.co/spaces/Howieeeee/WorldScore_Leaderboard/blob/main/leaderboard.csv","current snapshot does not support first place"
"Q-006","DR-01","MANIFOLD","WorldArena exact track and rank","WorldArena","WorldArena","world-arena.ai","P0","partially_recovered","https://world-arena.ai/","one Policy Evaluator record recovered; comprehensive rank not proven"
"Q-007","DR-01","MANIFOLD","RoboTwin exact competition track and snapshot","RoboTwin leaderboard","RoboTwin","robotwin-platform.github.io","P0","unresolved_exact_track","https://robotwin-platform.github.io/leaderboard","opened page has no WorldScape"
"Q-008","DR-01","MANIFOLD","Worldscape-MoE code and weights availability","Worldscape-MoE.code","EmbodiedCity","github.com/EmbodiedCity","P0","opened_current_not_released","https://github.com/EmbodiedCity/Worldscape-MoE.code","repository says materials still being organized"
"Q-009","DR-01","MANIFOLD","legal entity and project/IP ownership","MIIT and corporate registry","government registries","beian.miit.gov.cn","P0","unresolved","https://beian.miit.gov.cn/","site dynamic; exact record and corporate identity not recovered"
"Q-010","DR-02","O-001","does World Labs show auditable time-consistent action-conditioned future state in navigation","RTFM","World Labs","worldlabs.ai/blog/rtfm","P0","opened_downgraded","https://www.worldlabs.ai/blog/rtfm","camera-pose navigation can count; persistence geometry reachability or collision constraints and action-conditioned future branching remain unresolved"
