"map_id","page","page_title","content_block","claim_text","claim_type","claim_ids","source_ids","canonical_artifact_refs","monitor_ids","evidence_status","guardrail","as_of"
"P01-01","1","海外世界模型出现三种交付路径，客户侧生产采用仍待验证","market_supply_shift","固定五席已出现公开计价接口、文档化或申请制入口、可下载或自托管组件三类交付路径","analyst_synthesis","C-P3-002;C-P3-005;C-P2-006;C-P3-016;C-P3-029","S-WL-004;S-WL-010;S-ODY-009;S-RUN-001;S-DEC-008;S-NV-002","07_synthesis/cross_comparison.md","","conditional_against_public_anchor","三类路径不表示成熟度排名，也不证明共同买方、预算或交付位置","2026-07-14"
"P01-02","1","海外世界模型出现三种交付路径，客户侧生产采用仍待验证","competition_unit_shift","竞争单元已从生成效果扩展到接口、运行时、部署与集成；五席公开证据仍不足以证明稳定且经独立验证的生产能力","analyst_synthesis","C-P3-002;C-P3-003;C-P3-005;C-P3-006;C-P2-006;C-P3-010;C-P3-016;C-P3-018;C-P3-020;C-P3-029","S-WL-004;S-WL-012;S-ODY-009;S-ODY-011;S-RUN-001;S-RUN-004;S-DEC-008;S-DEC-007;S-NV-002","06_dossiers;07_synthesis/competitive_matrix.csv","","cross_object_synthesis","不把技术入口写成产品、商业成熟度或可比性能","2026-07-14"
"P01-03","1","海外世界模型出现三种交付路径，客户侧生产采用仍待验证","finding_commercial_ceiling","截至 2026-07-14 尚未恢复到固定五席任一对象的客户第一方可审计付费生产采用证据","negative_cross_object_synthesis","C-P3-025;C-P3-026;C-P3-013;C-P3-035;C-P3-023","S-WL-007;S-ODY-002;S-RUN-004;S-DEC-008;S-DEC-007;S-NV-006","06_dossiers;07_synthesis/cross_comparison.md","","evidence_ceiling","公开价格、供应商托管案例、公司或伙伴自报不等于客户第一方采用","2026-07-14"
"P01-04","1","海外世界模型出现三种交付路径，客户侧生产采用仍待验证","comparison_scope","竞争判断只相对于 Manifold 已公开信息作条件性分析","governance_recommendation","","","01_inputs/user_materials/day0_internal_input.md;02_anchor/manifold_anchor.md","","public_anchor_limited","不推断现实客户、预算或交付位置已经重合","2026-07-14"
"P01-05","1","海外世界模型出现三种交付路径，客户侧生产采用仍待验证","fixed_five","固定五席为 World Labs、Odyssey、Runway、Decart、NVIDIA Cosmos 3，结构为 4+1","approved_governance_fact","","","00_brief/project_state.json;05_candidates/checkpoint_2_approval_record.md","","approved_checkpoint_2","顺序不构成排名","2026-07-14"
"P02-01","2","海外玩家按世界形态与交付位置分化，获得方式决定进入路径","strategic_landscape_axes","主页面锁定为二维战略格局图：三列世界形态为持久空间世界、实时交互世界流、动作条件物理智能组件；主要任务或交付位置为内容与探索、开发者世界或仿真基础设施、机器人规划控制；节点类别为固定五席 5 个、观察对象 4 个、早期信号 1 个，获得方式由图标表达","canonical_scope_fact","","","03_universe/eligibility_register.csv;05_candidates/phase_2_candidate_validation.csv;00_brief/project_state.json","","approved_scope_architecture","三列世界形态和三类任务位置均为离散分类，不构成连续能力轴、成熟度轴或排名；主页面不显示对象表；Overworld 的地域条件为附加徽标","2026-07-14"
"P02-02","2","海外玩家按世界形态与交付位置分化，获得方式决定进入路径","geography","Overworld 法律主体与正式地域仍为条件性；其余九对象的非中国资格已按既定口径闭合","scope_and_geography_synthesis","C-GEO-002;C-GEO-003;C-GEO-004;C-GEO-005;C-GEO-006;C-GEO-007;C-GEO-008;C-GEO-009;C-GEO-010;C-P2-019","S-WL-004;S-ODY-002;S-RUN-003;S-DEC-003;S-NV-005;S-GD-004;S-MT-009;S-GI-003;S-OW-006;S-AMI-003","03_universe/geography_audit.csv","","mixed_verified_and_conditional","Overworld 地域关闭前不得占席；AMI 地域已闭合但仍只是早期信号","2026-07-14"
"P02-03","2","海外玩家按世界形态与交付位置分化，获得方式决定进入路径","scope_boundary","中国大陆公司、Manifold 及类别外路线不作为战略格局节点","governance_rule","","","00_brief/project_charter.md;03_universe/boundary_log.md","","approved_scope_rule","Manifold 只作公开比较锚点；港澳台和新加坡继续按既定地域定义处理","2026-07-14"
"P02-04","2","海外玩家按世界形态与交付位置分化，获得方式决定进入路径","world_labs_node","World Labs 主落点为持久空间世界 × 内容与探索；固定五席；公开计价接口","object_level_landscape_mapping","C-P3-001;C-P3-002","S-WL-002;S-WL-004;S-WL-010","03_universe/eligibility_register.csv;05_candidates/phase_2_candidate_validation.csv","","object_level_mapped","RTFM 与 World API 分立；价格不等于采用","2026-07-14"
"P02-05","2","海外玩家按世界形态与交付位置分化，获得方式决定进入路径","odyssey_node","Odyssey 主落点为实时交互世界流 × 开发者世界或仿真基础设施；固定五席；厂商文档化原型接口","object_level_landscape_mapping","C-P3-005","S-ODY-009","03_universe/eligibility_register.csv;05_candidates/phase_2_candidate_validation.csv","","object_level_mapped","实际账户和持续调用未独立确认","2026-07-14"
"P02-06","2","海外玩家按世界形态与交付位置分化，获得方式决定进入路径","runway_node","Runway 主落点为实时交互世界流 × 内容与探索；Robotics 仅作次级标签；固定五席；申请或洽谈入口","object_level_landscape_mapping","C-P2-005;C-P2-006;C-P3-011","S-RUN-001;S-RUN-005","03_universe/eligibility_register.csv;05_candidates/phase_2_candidate_validation.csv","","object_level_mapped","Worlds 与 Robotics 不互借证据","2026-07-14"
"P02-07","2","海外玩家按世界形态与交付位置分化，获得方式决定进入路径","decart_node","Decart 主落点为实时交互世界流 × 开发者世界或仿真基础设施；固定五席；公开按量计费预览接口","object_level_landscape_mapping","C-P3-015;C-P3-016","S-DEC-004;S-DEC-008","03_universe/eligibility_register.csv;05_candidates/phase_2_candidate_validation.csv","","object_level_mapped","公开计价只证明供应路径","2026-07-14"
"P02-08","2","海外玩家按世界形态与交付位置分化，获得方式决定进入路径","cosmos_node","Cosmos 3 主落点为动作条件物理智能组件 × 开发者世界或仿真基础设施；规划控制仅作次级标签；固定五席；可下载和自托管","object_level_landscape_mapping","C-P3-020;C-P3-029","S-NV-002","03_universe/eligibility_register.csv;05_candidates/phase_2_candidate_validation.csv","","object_level_mapped","厂商文档化路径不等于独立执行或动作 NIM","2026-07-14"
"P02-09","2","海外玩家按世界形态与交付位置分化，获得方式决定进入路径","genie_node","Genie 3 主落点为实时交互世界流 × 内容与探索；观察对象；封闭模型与消费者原型","object_level_landscape_mapping","C-P2-012;C-SCP-008","S-GD-001;S-GD-003","03_universe/eligibility_register.csv;05_candidates/phase_2_candidate_validation.csv","","object_level_mapped","不借内部适配或不可比评测形成排名","2026-07-14"
"P02-10","2","海外玩家按世界形态与交付位置分化，获得方式决定进入路径","meta_node","Meta V-JEPA 主落点为动作条件物理智能组件 × 机器人规划控制；观察对象；动作分支权重和本地路径","object_level_landscape_mapping","C-P2-014;C-P2-015","S-MT-003","03_universe/eligibility_register.csv;05_candidates/phase_2_candidate_validation.csv","","object_level_mapped","仅 2-AC 具动作条件；许可分层","2026-07-14"
"P02-11","2","海外玩家按世界形态与交付位置分化，获得方式决定进入路径","mira_node","MIRA 主落点为动作条件物理智能组件 × 开发者世界或仿真基础设施；观察对象；商业接口是否实际交付 MIRA 世界模型仍未闭合","object_level_landscape_mapping","C-P2-016;C-P2-017","S-GI-005;S-GI-006","03_universe/eligibility_register.csv;05_candidates/phase_2_candidate_validation.csv","","object_level_mapped","不把匿名客户、公司总体商业路线或其他组件借给 MIRA","2026-07-14"
