input_id,formal_name,actual_name,source_path,working_copy_path,bytes,last_modified_utc,sha256,read_status
GOV-01,"Manifold ChatGPT Work Launch Prompt v2.0 CN","Manifold_ChatGPT_Work_Launch_Prompt_v2.0_CN.md","<LOCAL_INPUT_DIR>\Manifold_ChatGPT_Work_Launch_Prompt_v2.0_CN.md","01_inputs/governance/Manifold_ChatGPT_Work_Launch_Prompt_v2.0_CN.md",877,2026-07-14T15:31:26.080Z,C3CB25E8D457F363FD642F75BA0F2034033D7074CE2BEE78ABE75795FB051677,readable_nonempty
GOV-02,"Manifold World Model Research Project Plan v2.0 CN","Manifold_World_Model_Research_Project_Plan_v2.0_CN.md","<LOCAL_INPUT_DIR>\Manifold_World_Model_Research_Project_Plan_v2.0_CN.md","01_inputs/governance/Manifold_World_Model_Research_Project_Plan_v2.0_CN.md",69550,2026-07-14T15:31:15.538Z,5BEA5C43E6FD702A9563F35F67A9E833E0E9585C0102F8E52206C494199D079A,readable_nonempty
DR-01,"DR-01 Manifold 公开比较锚点.md","DR-01 Manifold 公开比较锚点.md","<LOCAL_INPUT_DIR>\DR-01 Manifold 公开比较锚点.md","01_inputs/deep_research/DR-01 Manifold 公开比较锚点.md",38367,2026-07-14T13:41:16.311Z,B08B0A3E5BD2F12D6515A6421D0BE4EF7A45B860AD0BE402EEDB6CC0C9B75AAC,readable_nonempty_audited
DR-02,"DR-02 非中国玩家发现池与三层漏斗.md","DR-02 非中国玩家发现池与三层漏斗.md","<LOCAL_INPUT_DIR>\DR-02 非中国玩家发现池与三层漏斗.md","01_inputs/deep_research/DR-02 非中国玩家发现池与三层漏斗.md",60474,2026-07-14T13:40:47.077Z,8A718EFBA9B29FDA0DB422AAA007FBA439D45D0DC4287F4F8ABEEEA4C7DA4CA6,readable_nonempty_audited
DR-03,"DR-03 大厂项目 平台替代与垂直替代路线.md","DR-03 大厂项目 平台替代与垂直替代路线(1).md","<LOCAL_INPUT_DIR>\DR-03 大厂项目 平台替代与垂直替代路线(1).md","01_inputs/deep_research/DR-03 大厂项目 平台替代与垂直替代路线.md",55712,2026-07-14T14:44:49.029Z,BAACAE8A2499DA344DAD45264000D12253B14924D339DB11FEFDBCE1B01F9381,readable_nonempty_audited
USER-CP1-RT2,"检查点 1 红队合并修改意见 v2.0","user message dated 2026-07-15","Codex user message","01_inputs/user_materials/checkpoint_1_red_team_revision_v2.0.md",2190,2026-07-14T17:07:30.3139539Z,95D333CB0668D93151BF5BD7AFE33E3897D20D2DA5C47F173A705EE27AE68B54,readable_nonempty_applied
USER-CP1-1.1A,"检查点 1 v1.1a 规则补丁要求","user message after v1.1 review","Codex user message","01_inputs/user_materials/checkpoint_1_v1_1a_rule_patch_request.md",2187,2026-07-14T18:04:56.9006453Z,4DE67B309399ADA404CE22DBDC8B171C13FA062412B3225B33B6A802C01FDD63,readable_nonempty_applied
USER-CP1-APPROVAL,"检查点 1 正式批准","user approval message dated 2026-07-15","Codex user message","01_inputs/user_materials/checkpoint_1_approval_2026-07-15.md",678,2026-07-14T18:32:57.7347833Z,FDC666F77180A5E2B93C8B94B27C0DA4096B5A71CE9C809C1291BF2A8AD72A01,readable_nonempty_applied
USER-CP2-RT1,"检查点 2 红队审批意见 v1.0","user message dated 2026-07-15","Codex user message","01_inputs/user_materials/checkpoint_2_red_team_revision_v1.0.md",4517,2026-07-14T19:33:15.0341190Z,107CCF4C35E62DEB51E534B87F40F88A65E54A4CFDCFDAA36D9B4E93132736C1,readable_nonempty_applied
USER-CP2-APPROVAL,"检查点 2 正式批准","user approval message dated 2026-07-15","Codex user message","01_inputs/user_materials/checkpoint_2_approval_2026-07-15.md",1274,2026-07-14T20:32:09.5993686Z,BEA5EAADADFCCFB76660DAEA7B24083FEB87E4D89241C04796639A8C445320A6,readable_nonempty_applied
USER-CP2-PROP-CORR,"检查点 2 批准传播勘误","user correction message dated 2026-07-15","Codex user message","01_inputs/user_materials/checkpoint_2_approval_propagation_correction_2026-07-15.md",1586,2026-07-14T20:54:14.2075038Z,1B8CE36A85554584359058A6D843410444F2984600148F890416599F2CC231E1,readable_nonempty_applied
USER-CL10-RT1,"Content Lock 红队合并审批意见 v1.0","user message dated 2026-07-15","Codex user message","01_inputs/user_materials/content_lock_v1_0_red_team_revision_2026-07-15.md",4543,2026-07-15T00:22:35.4481366Z,AB189B34CE1F67BE11C0E395CAA938EE406619D317667CCCDAEDFEB9D2699C33,readable_nonempty_applied
USER-CL11-RT1,"Content Lock v1.1 红队复核意见","user message dated 2026-07-15","Codex user message","01_inputs/user_materials/content_lock_v1_1_red_team_revision_2026-07-15.md",3607,2026-07-15T00:22:56.8022200Z,4D8EAA825F19C813FD9DB4DDEDE8B7773C77FDC900DB940DD48ED3CD333615E4,readable_nonempty_applied
USER-CL11A-RT1,"Content Lock v1.1a 红队复核意见","user message dated 2026-07-15","Codex user message","01_inputs/user_materials/content_lock_v1_1a_red_team_revision_2026-07-15.md",2151,2026-07-15T01:16:03.4894116Z,A4F002D33F94CA8562ED2B1A37BE95ED60F859FF2918BF614F85392EE1098E22,readable_nonempty_applied
USER-SB10-RT1,"Storyboard v1.0 红队审计意见","user message dated 2026-07-15","Codex user message","01_inputs/user_materials/storyboard_v1_0_red_team_revision_2026-07-15.md",2187,2026-07-15T02:50:45.3098544Z,4B3ED6B8C7F42C9B13E2725F17CA9ED5A3E8522FD23D28D33398DB208B89F6F2,readable_nonempty_applied
