"query_id","object_id","hypothesis_direction","query_text","source_target","source_tier","result_summary","source_ids_or_urls","status","checked_at"
"Q-WL-001","O-001","supporting","World Labs RTFM target 3D camera pose spatial memory context juggling","official technical source","T1","Recovered pose-conditioned future views and persistent posed-frame memory","S-WL-002","closed","2026-07-14"
"Q-WL-002","O-001","supporting","World Labs World API models Marble API model IDs","official API documentation","T1","Recovered public Marble-only model table and component boundary","S-WL-003;S-WL-005","closed","2026-07-14"
"Q-WL-003","O-001","supporting","World API pricing credits PAYG minimum purchase","official pricing documentation","T1","Recovered $1 per 1250 credits and $5 minimum purchase","S-WL-010","closed","2026-07-14"
"Q-WL-004","O-001","supporting","World Labs terms commercial rights outputs restrictions","official legal text","T1","Recovered account-tier output rights and proprietary service restrictions","S-WL-004","closed","2026-07-14"
"Q-WL-005","O-001","supporting","World Labs Escape Lightwheel Marble deployment case","vendor and partner cases","T1","Recovered supplier-hosted prototype and workflow demonstrations only","S-WL-007;S-WL-011","closed","2026-07-14"
"Q-WL-006","O-001","disconfirming","RTFM dynamic world object interaction future work learned renderer","official limitations","T1","Official material calls RTFM a learned renderer and places dynamic interaction in future work","S-WL-002;S-WL-006","closed","2026-07-14"
"Q-WL-007","O-001","disconfirming","Marble independent hands-on dynamics physics deformation limits","independent product testing","T2","Independent sources found edge morphing and static-world dynamics boundary","S-WL-012;S-WL-013","closed","2026-07-14"
"Q-WL-008","O-001","disconfirming","World Labs named paid customer production deployment revenue Marble API","customer or independent adoption evidence","T2","No auditable paid pilot external production deployment or revenue evidence recovered","S-WL-007;S-WL-011","closed_negative_finding","2026-07-14"
"Q-WL-009","O-001","disconfirming","RTFM code weights API model license independent reproduction","artifact and reproduction evidence","T1-T2","No public RTFM code weights API model ID model license or independent long-horizon reproduction recovered","S-WL-002;S-WL-005","closed_negative_finding","2026-07-14"
"Q-ODY-001","O-002","supporting","Odyssey-2 Pro causal action-conditioned real-time world model","official technical and product source","T1","Recovered company-reported causal autoregressive model and developer API","S-ODY-001;S-ODY-003","closed","2026-07-14"
"Q-ODY-002","O-002","supporting","Odyssey API quick start JavaScript Python developer API","official API documentation","T1","Recovered API-key and SDK integration paths","S-ODY-009;S-ODY-010;S-ODY-013","closed","2026-07-14"
"Q-ODY-003","O-002","supporting","Odyssey-2 Max latent action conditioning private beta","official model release","T1","Recovered separate Max branch and private-beta availability","S-ODY-007","closed","2026-07-14"
"Q-ODY-004","O-002","supporting","Odyssey AWS Annapurna go-to-market model optimization","official partnership announcement","T1","Recovered research optimization and GTM route; not customer adoption","S-ODY-006","closed","2026-07-14"
"Q-ODY-005","O-002","disconfirming","Odyssey API prototype revocable no support SLA uptime","official legal text","T1","Recovered prototype definition revocable license and no default support SLA or uptime","S-ODY-002","closed","2026-07-14"
"Q-ODY-006","O-002","disconfirming","Odyssey API stream duration 150 seconds 60 minutes gap","official API operations documentation","T1","Recovered current default 150-second per-stream and 60-minute per-connection limits plus longer-session restart or stitching constraints","S-ODY-011","closed","2026-07-14"
"Q-ODY-007","O-002","disconfirming","Odyssey independent reproduction Max physics long horizon","independent technical validation","T2","No independent Max reproduction or system validation recovered","S-ODY-007","closed_negative_finding","2026-07-14"
