"component_id","parent_object_id","parent_object","component","component_role","technical_gate_status","scope_status","access_or_maturity","license_boundary","source_ids","decision_reason"
"CMP-001","O-018","Genesis AI / GENE + Genesis World","GENE","robot foundation model / robotic brain","fails_object_type","boundary_excluded_robot_fm","company product announcement","not audited at CP1","S-BND-009","direct robot-policy/foundation-model route"
"CMP-002","O-018","Genesis AI / GENE + Genesis World","Genesis World","multi-physics simulation platform","fails_object_type","boundary_excluded_simulator","public code repository","repository-specific; not audited at CP1","S-BND-010","simulation platform route"
"CMP-003","O-005","NVIDIA Cosmos 3","Cosmos 3 Generator core","action-conditioned forward dynamics policy and inverse-dynamics branches","passes_gate_2","qualifying_component_core_collection","model materials code and self-hosted workflows available","OpenMDW-1.1 only for named model materials","S-NV-001;S-NV-002;S-NV-004;S-NV-007","Phase 2 Gate 2 passed; Gate 3 is conditional against the public anchor; NIM Isaac GR00T Omniverse and partner stack maturity cannot be borrowed"
"CMP-004","O-005","NVIDIA Cosmos 3","Cosmos NIM","self-hosted inference/access layer","not_independent_candidate","access_layer_only","documented NIM containers","NIM/EULA separate from model materials","S-NV-003","must not lift access maturity or license to core"
"CMP-005","O-006","Google DeepMind Genie 3 / Project Genie","Genie 3 core","action-conditioned interactive research world model","passes_gate_2","qualifying_component_core_watch","research model and consumer prototype; no public enterprise API SDK weights or developer license","not publicly specified","S-GD-001;S-GD-002;S-GD-003;S-GD-005;S-GD-006","Phase 2 Gate 2 passed and Gate 3 is conditional against the public anchor; core watch not recommended; Project Genie and Waymo evidence remain separate"
"CMP-006","O-006","Google DeepMind Genie 3 / Project Genie","Project Genie","multi-component Labs subscription prototype","not_independent_candidate","access_layer_prototype","Ultra consumer prototype","product terms; no model license","S-GD-002;S-GD-003","cannot be treated as pure Genie 3 or enterprise product"
"CMP-007","O-007","Meta V-JEPA family","V-JEPA 2 base","action-free video representation and latent-prediction base","fails_action_gate_alone","component_only","official code/config/checkpoints and model cards","checkpoint-specific; ViT-L/H cards MIT and ViT-g cards Apache-2.0; not uniform","S-MT-001;S-MT-002;S-MT-003;S-MT-005;S-MT-006;S-MT-007;S-MT-008","base alone does not satisfy action/control gate"
"CMP-008","O-007","Meta V-JEPA family","V-JEPA 2-AC","approximately 300M action-conditioned latent predictor","passes_gate_2_narrow_robot_domain","validation_component_core_watch","downloadable checkpoint/config/PyTorch Hub/local workflow; no hosted product","exact AC checkpoint terms unresolved","S-MT-001;S-MT-002;S-MT-003;S-MT-010","only 2-AC supplies action-conditioning evidence; Franka/DROID domain is narrow; public local path supports limited Gate 3 platform substitution but license and reproduction risks remain"
"CMP-009","O-007","Meta V-JEPA family","V-JEPA 2.1","latest action-free dense representation branch","fails_action_gate_alone","component_only_latest_version","official code/config and four direct pretrained checkpoints","exact checkpoint terms unresolved; paper CC BY-NC-ND 4.0 does not transfer","S-MT-003;S-MT-004","robot results require separately trained action-conditioned predictor; no named 2.1-AC artifact recovered"
"CMP-010","O-001","World Labs","Marble / World API","multimodal 3D world-generation product and API","technical_gate_not_transferable","component_only_3d_generation_api","public World API with Marble model IDs","product/API terms apply to Marble access only","S-WL-003;S-WL-004;S-WL-005;S-WL-006","Marble API access and maturity do not prove RTFM access or gate 2 qualification"
"CMP-011","O-001","World Labs","RTFM","real-time frame model / learned renderer research preview","passes_gate_2_navigation_definition","qualifying_component_core_collection","research preview and browser demo; no RTFM model ID in World API table","no separate RTFM API or checkpoint license recovered","S-WL-002;S-WL-005;S-WL-006","target camera pose plus posed-frame spatial memory close the Phase 2 navigation gate; learned-renderer physics dynamic interaction and independent long-horizon limits remain"
"CMP-012","O-021","Mistral initiatives","Emmi Physics AI","industrial physics-field surrogate for CFD/FEM design and digital twins","fails_object_type","boundary_simulation_physics_ai","company technical announcement","not audited at CP1","S-BND-016","predicts engineering physical fields; not an observation-action-future-world interface"
"CMP-013","O-021","Mistral initiatives","Robostral Navigate","single-camera embodied navigation policy/planner","fails_object_type","boundary_robot_navigation_model","company product announcement; contact path","not audited at CP1","S-BND-015","predicts where the robot should move; does not generate future world state"
"CMP-014","O-003","Runway","GWM Worlds","real-time navigable world-model variant","passes_gate_2_navigation_worlds","qualifying_component","public application-based early-access entry; actual access not independently confirmed; no public weights or code","model and access terms not publicly closed","S-RUN-001;S-RUN-002;S-RUN-003","current Runway qualifying core; future dossier must keep Worlds capability access license and adoption evidence separate from Robotics"
"CMP-015","O-003","Runway","GWM Robotics","robot-action-conditioned rollout world-model variant","related_world_model_component_not_used_for_Worlds_gate","component_only_not_independent_seat","application-only Python SDK / early access; actual access not independently confirmed","SDK and model license not publicly closed","S-RUN-001","directly relevant related asset; future dossier requires a separate column and neither component may lend capability access license or adoption status to the other"
