"object_id","canonical_object","headquarters","main_operating_or_legal_entity","primary_source_ids","scope_status","queue_layer","unresolved_questions","as_of_date"
"O-001","World Labs","San Francisco California US; official contact/order address; HQ label not explicit","World Labs Technologies Inc","S-WL-004","non_china_verified","core_collection","confirm whether public address is formal headquarters; no effect on non-China scope or approved final-five status","2026-07-14"
"O-002","Odyssey","San Jose California corporate-headquarters wording; Menlo Park California principal/business address also appears","Odyssey Systems Inc","S-ODY-002","non_china_verified_with_address_distinction","core_collection","resolve which official address is current headquarters versus principal place of business; no effect on non-China scope","2026-07-14"
"O-003","Runway","New York New York US; official company address","Runway AI Inc","S-RUN-002;S-RUN-003","non_china_verified","core_collection","formal HQ label not explicit on recovered rules; entity and US operating address are clear","2026-07-14"
"O-004","Decart","formal headquarters label unresolved; official operating sites are San Francisco Tel Aviv and New York","Decart.AI Inc; US-inc terms and US/Israel operating footprint","S-DEC-002;S-DEC-003","non_china_verified_for_scope_hq_label_unresolved","core_collection","recover formal headquarters and principal legal/operating entity relationship before making any exact HQ claim; all audited legal and operating facts are non-China","2026-07-14"
"O-005","NVIDIA Cosmos 3","Santa Clara California US at parent-owner level","NVIDIA corporate owner of Cosmos project","S-NV-001;S-NV-005","non_china_verified_at_parent_owner_level","core_collection","project-level legal ownership and research locations not separately audited; global operations do not change owner-level result","2026-07-14"
"O-006","Google DeepMind Genie 3 / Project Genie","Mountain View California US at Google LLC owner level; DeepMind team is international","Google LLC / Google DeepMind project team","S-GD-001;S-GD-003;S-GD-004","non_china_verified_at_parent_owner_level","core_collection","exact internal project legal owner and research location not separately stated","2026-07-14"
"O-007","Meta V-JEPA family","Menlo Park California US at parent-owner level","Meta / FAIR project family","S-MT-001;S-MT-003;S-MT-009","non_china_verified_at_parent_owner_level","core_collection","exact internal artifact owner and research locations not separately audited; geography is not the reason it remains a non-recommended core watch","2026-07-14"
"O-008","General Intuition / MIRA","New York New York US official contact address","General Intuition US Inc; Delaware-governed terms","S-GI-003","non_china_verified","core_collection","formal HQ label not explicit; entity and US operating address are clear","2026-07-14"
"O-009","AMI Labs","10 rue de Penthièvre 75008 Paris France; government-registered headquarters","Advanced Machine Intelligence SAS; SIREN 994675254; SIRET headquarters 99467525400027","S-AMI-001;S-AMI-003","non_china_verified","discovery_isolation_self_positioned","website and registry share the Advanced Machine Intelligence legal name; geography is closed but no technical asset closes gate 2","2026-07-14"
"O-024","Overworld","Providence Rhode Island US provisional; official team location plus AP description; remote-first distributed","legal entity and registration jurisdiction unresolved; a historical first-party page used the Open World Labs name and its legal relation remains unresolved","S-OW-001;S-OW-002;S-OW-006;S-OW-007;S-OW-008","geography_conditional","core_collection","Providence operating evidence supports conditional non-China retention; recover legal entity registration jurisdiction formal headquarters and name-change/legal continuity; conditional geography blocks a recommendation seat until closed","2026-07-14"
