"monitor_id","object_id","name","signal_category","current_state","event_threshold","source_channel","review_frequency","triggered_reassessment","current_source_ids","linked_claim_ids","as_of"
"M-WL-01","O-001","World Labs","productization","RTFM 仍为 research preview/learned renderer；World API 只列 Marble models","出现 RTFM 官方 model ID、可调用 API/SDK、价格或版本化服务文档","World Labs release notes、API model list、产品/API 文档","monthly","重审 RTFM external_access_stage 及直接 product/platform path；仍不得借 Marble 采用","S-WL-002;S-WL-005;S-WL-009","C-P3-001;C-P3-004","2026-07-14"
"M-WL-02","O-001","World Labs","independent_validation","只有媒体 hands-on/分析；无公开协议下的长时系统复现","独立团队披露可复现实验，覆盖回访、尺度/几何、碰撞、动作条件动态与失败率","论文、公开代码、独立 benchmark/reproduction、技术媒体","quarterly","将 technical_evidence_stage 从 demo/research preview 重审为 validated system 或保留降级","S-WL-012;S-WL-013","C-P3-003","2026-07-14"
"M-WL-03","O-001","World Labs","commercial_adoption","厂商自报 early integration + supplier-hosted prototype/collaboration；无客户侧付费或生产证据","具名客户第一方确认 paid pilot 或 external production deployment，并披露任务、范围、支付/续约或可靠性指标","客户官网、采购/合同披露、客户技术博客、监管文件","monthly","重审 commercial_adoption_stage 与 potential_product_substitution；不以供应商转述单独触发","S-WL-007;S-WL-011","C-P3-025;C-P3-031","2026-07-14"
"M-WL-04","O-001","World Labs","dynamic_interaction_research","RTFM 当前只证明 pose-conditioned navigation；动态对象与 agent interaction 仍属未来扩展","公开具版本的 dynamic object/agent interaction 分支，证明动作对持久动态状态和未来分支产生条件影响","RTFM technical blog、论文、模型卡、代码与可复现实验","quarterly","只重审 technical_evidence_stage 与技术重合；单独出现研究分支不升级产品化、访问或商业采用","S-WL-002;S-WL-006","C-P3-001","2026-07-14"
"M-ODY-01","O-002","Odyssey","service_reliability_and_access","vendor-documented prototype API；实际账户获取/持续调用未独立确认；无默认 SLA；当前默认单流上限 150 秒、当前默认单连接上限 60 分钟、无活动流 15 分钟自动断开","出现可独立获取的账户与持续调用证明，并公布版本化价格、SLA、uptime、support、状态页或长期 stream 机制","Odyssey API docs、legal/orders、status page、独立 developer test","monthly","重审 external_access_stage、platform route 与 production readiness；Max 仍单独判断","S-ODY-002;S-ODY-009;S-ODY-011;S-ODY-013;S-ODY-014","C-P3-005;C-P3-006;C-P3-007;C-P3-036","2026-07-14"
"M-ODY-02","O-002","Odyssey","independent_validation","FPS、延迟、长 rollout 与 benchmark 均未独立复现","独立团队在同一或可比协议复现 action fidelity、空间记忆、物理一致性、长时稳定性与失败率","论文、代码、独立 benchmark/reproduction","quarterly","重审 technical_evidence_stage；不可将 Max 结果转移给 Pro","S-ODY-003;S-ODY-007","C-P3-005;C-P3-008","2026-07-14"
"M-ODY-03","O-002","Odyssey","commercial_adoption","Not established；仅有合同框架与供应商自报 AWS 平台关系","具名客户第一方披露 paid pilot 或 production deployment，含任务、规模、可靠性、支付或续约","客户官网、客户技术博客、合同/监管文件","monthly","重审 commercial_adoption_stage 与 product substitution，不以 MSA/Order 模板或云合作单独触发","S-ODY-002;S-ODY-006","C-P3-026;C-P3-032","2026-07-14"
"M-RUN-01","O-003","Runway","external_access","Worlds 与 Robotics 均为公开申请/洽谈入口；实际 access 未独立确认","出现公开 API contract、价格、版本、SLA，或独立账户成功调用 Worlds/Robotics 的证据","Runway product/API docs、terms、independent developer test","monthly","分别重审 Worlds 与 Robotics 的 external_access_stage；不得互借 access","S-RUN-001;S-RUN-005;S-RUN-006","C-P3-011;C-P3-012;C-P3-014","2026-07-14"
"M-RUN-02","O-003","Runway","independent_validation","Worlds 长时主张与 Robotics 单域相对策略排序均为公司自评；Robotics 仅覆盖单一 Franka tabletop 域","独立团队复现 Worlds 长时空间一致性，或在跨 embodiment 的同一/可比协议验证 Robotics 绝对预测与 failure rate","论文、公开 benchmark、独立 reproduction、伙伴技术报告","quarterly","分别重审 Worlds/Robotics technical_evidence_stage；不将相对排序写成绝对成功率","S-RUN-001;S-RUN-004","C-P3-010","2026-07-14"
"M-RUN-03","O-003","Runway","commercial_adoption","NVIDIA 与 Berkshire Grey 只见 Runway 自报合作；无伙伴侧 PoC、付费或生产确认","伙伴或客户第一方确认 paid pilot/production deployment，披露任务、范围、指标或合同状态","伙伴官网、客户技术博客、合同/监管文件","monthly","重审 commercial_adoption_stage 与 conditional product/platform substitution；创意平台采用仍不得借给 GWM","S-RUN-004","C-P3-013","2026-07-14"
"M-DEC-01","O-004","Decart","ga_and_service_reliability","oasis-3-preview 为公开计费 Beta；可撤销、无不中断保证，Beta liability cap 为 0","Preview 升级为具版本承诺的 GA，并公布 SLA、uptime、error rate、retention、数据 opt-out 与责任边界","Decart API docs、pricing、API terms、status page","monthly","重审 external_access_stage、enterprise friction 与 platform substitution；仅价格变化不升级采用","S-DEC-008;S-DEC-009","C-P3-016;C-P3-017","2026-07-14"
"M-DEC-02","O-004","Decart","independent_validation","单记者 hands-on 记录记忆、控制、漂移与碰撞失败；无标准化系统复现","独立团队在公开协议下复现路线记忆、回环、碰撞、控制跟随、长时状态一致性并披露失败率","独立 benchmark/reproduction、论文、代码、技术媒体","quarterly","根据结果上调或下调 technical_evidence_stage；不把单次体验当系统 benchmark","S-DEC-007","C-P3-018","2026-07-14"
"M-DEC-03","O-004","Decart","commercial_adoption","priced supply path only；截至 cutoff 未恢复具名客户、paid pilot、外部生产、收入或续约证据","具名客户第一方披露 paid pilot 或 production use，含任务、用量、可靠性与支付/续约信息","客户官网、客户技术博客、合同/监管文件","monthly","重审 commercial_adoption_stage 与 product substitution；free credits、计费页或 enterprise contact 不触发","S-DEC-007;S-DEC-008;S-DEC-009","C-P3-016;C-P3-019;C-P3-035","2026-07-14"
"M-NV-01","O-005","NVIDIA Cosmos 3","stable_action_runtime","固定 NVIDIA revision 已文档化 policy/forward/inverse 的 vLLM-Omni 自托管在线路径；未独立执行或确认为精确版本化 stable release","policy、forward dynamics 或 inverse dynamics 进入精确版本化 stable runtime，并公布可复现安装与 compatibility matrix","vLLM-Omni releases、Cosmos repo/model-card revisions、独立 developer test","monthly","重审 external_access_stage 与 self-host platform route；无需企业 SLA，但不自动升级为 NIM、商业采用或生产验证","S-NV-002;S-NV-004;S-NV-018","C-P3-021;C-P3-029","2026-07-14"
"M-NV-02","O-005","NVIDIA Cosmos 3","commercial_adoption","action core 仅有 Agile 伙伴侧自报 early access/testing/integration/internal neural-simulator deployment；Centific/Ailytics 仅为相邻项目生态；无客户侧付费或外部生产验证","具名客户第一方确认 action-core paid production use，披露任务、部署范围、指标、合同或续约","客户官网、伙伴客户案例、合同/监管文件","monthly","重审 action-core commercial_adoption_stage；相邻 Reasoner/视频工作流、伙伴自报或 Ailytics 整体 installed base 不单独触发","S-NV-006;S-NV-012;S-NV-013","C-P3-023;C-P3-033;C-P3-034","2026-07-14"
"M-NV-03","O-005","NVIDIA Cosmos 3","independent_reproduction_and_tco","官方 runnable artifacts 与模型卡限制并存；无非 NVIDIA/伙伴系统复现或可审计 TCO","独立团队在同一或可比协议复现核心结果，并披露硬件、延迟、稳定性、失败率、成本与许可链","独立论文/benchmark、开源复现、部署报告","quarterly","重审 technical_evidence_stage、平台绕行摩擦与 TCO；动态榜单只作版本化快照","S-NV-002;S-NV-015;S-NV-016;S-NV-017","C-P3-020;C-P3-024","2026-07-14"
